reaction_id,prompt,answer
R-HSA-1169188,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer:SHP1 [plasma membrane] (complex of GH1 [extracellular region] (UniProt: P01241), GH2 [extracellular region] (UniProt: P01242), p-5Y-GHR(19-638) [plasma membrane] (UniProt: P10912), p-Y1007-JAK2 [cytosol] (UniProt: O60674), PTPN6 [cytosol] (UniProt: P29350))
Reactants: Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer:SHP1 [plasma membrane] (complex of GH1 [extracellular region] (UniProt: P01241), GH2 [extracellular region] (UniProt: P01242), p-5Y-GHR(19-638) [plasma membrane] (UniProt: P10912), p-Y1007-JAK2 [cytosol] (UniProt: O60674), PTPN6 [cytosol] (UniProt: P29350))

START
","Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-JAK2 dimer:SHP1 [plasma membrane] (complex of PTPN6 [cytosol] (UniProt: P29350), GH1 [extracellular region] (UniProt: P01241), GH2 [extracellular region] (UniProt: P01242), p-5Y-GHR(19-638) [plasma membrane] (UniProt: P10912), JAK2 [cytosol] (UniProt: O60674)), Pi [cytosol] (ChEBI: 43474)"
R-HSA-1183128,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PADIs:Ca2+ [cytosol] (complex of Ca2+ [cytosol] (ChEBI: 29108))
Reactants: H2O [cytosol] (ChEBI: 15377), Protein-L-arginine [cytosol]

START
","Protein-L-citrulline [cytosol], NH3 [cytosol] (ChEBI: 16134)"
R-HSA-1222690,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: DlaT [cytosol] (UniProt: P9WIS7)
Reactants: AhpD(ox.) [cytosol] (UniProt: P9WQB5), DlaT [cytosol] (UniProt: P9WIS7)

START
","AhpD [cytosol] (UniProt: P9WQB5), DlaT(ox.) [cytosol] (UniProt: P9WIS7)"
R-HSA-1234165,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PHD1,3 [nucleoplasm] (complex of Fe2+ [nucleoplasm] (ChEBI: 29033), AscH- [nucleoplasm] (ChEBI: 38290), EGLN3 [nucleoplasm] (UniProt: Q9H6Z9), EGLN2 [nucleoplasm] (UniProt: Q96KS0))
Reactants: 2OG [nucleoplasm] (ChEBI: 16810), HIF3A [nucleoplasm] (UniProt: Q9Y2N7), O2 [nucleoplasm] (ChEBI: 15379)

START
","CO2 [nucleoplasm] (ChEBI: 16526), HP-HIF3A [nucleoplasm] (UniProt: Q9Y2N7), SUCCA [nucleoplasm] (ChEBI: 30031)"
R-HSA-1236965,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: Ag peptide bound class I MHC [phagocytic vesicle membrane] (complex of B2M(21-119) [phagocytic vesicle membrane] (UniProt: P61769), HLA class I histocompatibility antigen, A-3 alpha chain precursor [phagocytic vesicle membrane] (UniProt: P04439), HLA class I histocompatibility antigen, Cw-7 alpha chain precursor [phagocytic vesicle membrane] (UniProt: P10321), HLA class I histocompatibility antigen, E alpha chain precursor [phagocytic vesicle membrane] (UniProt: P13747), HLA class I histocompatibility antigen, alpha chain F precursor [phagocytic vesicle membrane] (UniProt: P30511), HLA class I histocompatibility antigen, alpha chain G precursor [phagocytic vesicle membrane] (UniProt: P17693), class I MHC B7 [phagocytic vesicle membrane] (UniProt: P01889), HLA-H [phagocytic vesicle membrane] (UniProt: P01893))

START
","Antigen peptide bound class I MHC [plasma membrane] (complex of B2M(21-119) [plasma membrane] (UniProt: P61769), HLA class I histocompatibility antigen, A-3 alpha chain precursor [plasma membrane] (UniProt: P04439), HLA class I histocompatibility antigen, E alpha chain precursor [plasma membrane] (UniProt: P13747), HLA class I histocompatibility antigen, alpha chain F precursor [plasma membrane] (UniProt: P30511), HLA class I histocompatibility antigen, alpha chain G precursor [plasma membrane] (UniProt: P17693), class I MHC B7 [plasma membrane] (UniProt: P01889), HLA class I histocompatibility antigen, Cw-7 alpha chain precursor [plasma membrane] (UniProt: P10321), HLA-H [plasma membrane] (UniProt: P01893))"
R-HSA-1247960,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: p-S207,T211-MAP2K6 [cytosol] (UniProt: P52564)
Reactants: p38 MAPK [cytosol], ATP [cytosol] (ChEBI: 30616)

START
","Phospho-p38 MAPK [cytosol], ADP [cytosol] (ChEBI: 456216)"
R-HSA-1251997,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: gamma-secretase complex [plasma membrane] (complex of PSENEN [plasma membrane] (UniProt: Q9NZ42), APH1B [plasma membrane] (UniProt: Q8WW43), APH1A [plasma membrane] (UniProt: Q96BI3), NCSTN [plasma membrane] (UniProt: Q92542), PSEN2(1-297) [plasma membrane] (UniProt: P49810), PSEN1(299-467) [plasma membrane] (UniProt: P49768))
Reactants: ERBB4m80 [plasma membrane]

START
",ERBB4s80 [cytosol]
R-HSA-1295632,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PPA2A (A:C):S112/S115 p-SPRY2 [cytosol] (complex of p-S112,S115-SPRY2 [cytosol] (UniProt: O43597), PPP2R1A [cytosol] (UniProt: P30153), PPP2CA [cytosol] (UniProt: P67775), PPP2CB [cytosol] (UniProt: P62714))
Reactants: PPA2A (A:C):S112/S115 p-SPRY2 [cytosol] (complex of p-S112,S115-SPRY2 [cytosol] (UniProt: O43597), PPP2R1A [cytosol] (UniProt: P30153), PPP2CA [cytosol] (UniProt: P67775), PPP2CB [cytosol] (UniProt: P62714))

START
","PPA2A(A:C):SPRY2 [cytosol] (complex of PPP2R1A [cytosol] (UniProt: P30153), PPP2CA [cytosol] (UniProt: P67775), PPP2CB [cytosol] (UniProt: P62714), SPRY2 [cytosol] (UniProt: O43597)), Pi [cytosol] (ChEBI: 43474)"
R-HSA-1299487,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: Precursor Cargo of TIMM23 SORT [mitochondrial intermembrane space], TIMM23 Complex [mitochondrial inner membrane] (complex of TIMM50 [mitochondrial inner membrane] (UniProt: Q3ZCQ8), TIMM23 [mitochondrial inner membrane] (UniProt: O14925), TIMM17A [mitochondrial inner membrane] (UniProt: Q99595), TIMM17B [mitochondrial inner membrane] (UniProt: O60830), TIMM21 [mitochondrial inner membrane] (UniProt: Q9BVV7), DNAJC19 [mitochondrial inner membrane] (UniProt: Q96DA6), PAM16 [mitochondrial inner membrane] (UniProt: Q9Y3D7), TIMM44(?-452) [mitochondrial inner membrane] (UniProt: O43615), HSPA9 [mitochondrial inner membrane] (UniProt: P38646), GRPEL1 [mitochondrial inner membrane] (UniProt: Q9HAV7), GRPEL2 [mitochondrial inner membrane] (UniProt: Q8TAA5))

START
","TIMM23 SORT:Precursor Cargo [mitochondrial inner membrane] (complex of TIMM50 [mitochondrial inner membrane] (UniProt: Q3ZCQ8), TIMM23 [mitochondrial inner membrane] (UniProt: O14925), TIMM17A [mitochondrial inner membrane] (UniProt: Q99595), TIMM17B [mitochondrial inner membrane] (UniProt: O60830), TIMM21 [mitochondrial inner membrane] (UniProt: Q9BVV7), DNAJC19 [mitochondrial inner membrane] (UniProt: Q96DA6), PAM16 [mitochondrial inner membrane] (UniProt: Q9Y3D7), TIMM44(?-452) [mitochondrial inner membrane] (UniProt: O43615), HSPA9 [mitochondrial inner membrane] (UniProt: P38646), GRPEL1 [mitochondrial inner membrane] (UniProt: Q9HAV7), GRPEL2 [mitochondrial inner membrane] (UniProt: Q8TAA5))"
R-HSA-1362485,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: GHR(19-256) [extracellular region] (UniProt: P10912), Growth Hormone [extracellular region] (complex of GH1 [extracellular region] (UniProt: P01241), GH2 [extracellular region] (UniProt: P01242))

START
","GHBP:GH [extracellular region] (complex of GHR(19-256) [extracellular region] (UniProt: P10912), GH1 [extracellular region] (UniProt: P01241), GH2 [extracellular region] (UniProt: P01242))"
R-HSA-139893,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: GZMB [cytosol] (UniProt: P10144)
Reactants: BID(1-195) [cytosol] (UniProt: P55957)

START
",BID(62-195) [cytosol] (UniProt: P55957)
R-HSA-140736,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: TF:FVIIa [plasma membrane] (complex of PalmC, 2HC-F3 [plasma membrane] (UniProt: P13726), 10xCbxE-F7(61-212) [plasma membrane] (UniProt: P08709), Ca2+ [plasma membrane] (ChEBI: 29108))
Reactants: factor X [extracellular region] (complex of 11xCbxE-3D-F10(41-179) [extracellular region] (UniProt: P00742)), Ca2+ [extracellular region] (ChEBI: 29108)

START
","factor Xa [extracellular region] (complex of 11xCbxE-3D-F10(41-179) [extracellular region] (UniProt: P00742), Ca2+ [extracellular region] (ChEBI: 29108)), factor X activation peptide [extracellular region] (UniProt: P00742)"
R-HSA-141348,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PAOX:FAD [peroxisomal matrix] (complex of FAD [peroxisomal matrix] (ChEBI: 57692), PAOX [peroxisomal matrix] (UniProt: Q6QHF9))
Reactants: NASPM [peroxisomal matrix] (ChEBI: 17927), H2O [peroxisomal matrix] (ChEBI: 15377), O2 [peroxisomal matrix] (ChEBI: 15379)

START
","PTCN [peroxisomal matrix] (ChEBI: 326268), H2O2 [peroxisomal matrix] (ChEBI: 16240), 3AAPNAL [peroxisomal matrix] (ChEBI: 30322)"
R-HSA-1433542,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: SFKs:p-KIT complex [plasma membrane] (complex of FYN [cytosol] (UniProt: P06241), LYN [cytosol] (UniProt: P07948), YES1 [cytosol] (UniProt: P07947), LCK [cytosol] (UniProt: P06239), p-7Y-KIT [plasma membrane] (UniProt: P10721))
Reactants: ATP [cytosol] (ChEBI: 30616), PI(3,4,5)P3 [plasma membrane] (ChEBI: 57836), VAV1 [cytosol] (UniProt: P15498)

START
","ADP [cytosol] (ChEBI: 456216), p-VAV1:PIP3 [plasma membrane] (complex of PI(3,4,5)P3 [plasma membrane] (ChEBI: 57836), p-Y142,Y160,Y174-VAV1 [plasma membrane] (UniProt: P15498))"
R-HSA-1462039,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: Pro-defensins alpha 1-4 [Golgi lumen]

START
","Defensins alpha 1-4 [Golgi lumen], Pro-defensin fragments [Golgi lumen]"
R-HSA-1475414,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: p-SPR dimer [cytosol] (complex of p-S213-SPR [cytosol] (UniProt: P35270))
Reactants: PTHP [cytosol] (ChEBI: 17804), NADPH [cytosol] (ChEBI: 57783)

START
","BH4 [cytosol] (ChEBI: 59560), NADP+ [cytosol] (ChEBI: 58349)"
R-HSA-1482696,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PLA2G4C [endoplasmic reticulum membrane] (UniProt: Q9UP65)
Reactants: 1-acyl LPC [endoplasmic reticulum membrane] (ChEBI: 17504), H2O [cytosol] (ChEBI: 15377)

START
","GPCho [cytosol] (ChEBI: 16870), LCFA(-) [endoplasmic reticulum membrane] (ChEBI: 57560)"
R-HSA-1482907,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PLA2G2A:Ca2+ [endoplasmic reticulum membrane] (complex of PLA2G2A [endoplasmic reticulum membrane] (UniProt: P14555), Ca2+ [endoplasmic reticulum membrane] (ChEBI: 29108))
Reactants: PG [endoplasmic reticulum membrane] (ChEBI: 64716), H2O [cytosol] (ChEBI: 15377)

START
","1-acyl LPG [endoplasmic reticulum membrane] (ChEBI: 62747), LCFA(-) [endoplasmic reticulum membrane] (ChEBI: 57560)"
